文件名,总变量数,存在漏洞变量数,危险路径总数,可疑路径总数,存在漏洞的变量名,分析时间,源码文件路径
0xf47186b5a4a57121f4eace51f50d47a7c0cd8740,20,4,1,2,"_totalSupply, _balances, _freezeList, artChain",2025-10-10T13:05:07.564961,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf47186b5a4a57121f4eace51f50d47a7c0cd8740.sol
0xf3b5cf34cdc3a0850037e5f383357fb808026bc7,3,1,0,0,implementation,2025-10-10T13:05:40.166765,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3b5cf34cdc3a0850037e5f383357fb808026bc7.sol
0xf3e61d4a877ef82d68ebc97acf99e1c08ee342f2,31,0,0,0,,2025-10-10T13:05:59.267441,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3e61d4a877ef82d68ebc97acf99e1c08ee342f2.sol
0xf412af62269a0b3b10ea727df81231cdc5bb6364,9,0,0,0,,2025-10-10T13:05:11.524959,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf412af62269a0b3b10ea727df81231cdc5bb6364.sol
0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407,18,4,0,1,"admins, creator, tokenId, price",2025-10-10T13:05:42.049058,/Users/almightyfish/Desktop/AChecker/AC/undependency/0x46cefba4dd7512b2449e1ac4b730bfb7f77d1407.sol
0xf4f5271c9d6f23cc00f93625b502f88d289a1607,26,1,0,0,withdraws,2025-10-10T13:06:07.168966,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf4f5271c9d6f23cc00f93625b502f88d289a1607.sol
0xf45ee2519203fe8b77c1f05de75cf5f405bf9011,10,5,0,2,"totalSupply, _from, _value, _token, initialSupply",2025-10-10T13:05:00.340475,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf45ee2519203fe8b77c1f05de75cf5f405bf9011.sol
0xf3b1110c90fe991310a26742ec6c9ceebbc6bdd6,18,1,0,3,totalSupply,2025-10-10T13:05:52.649495,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3b1110c90fe991310a26742ec6c9ceebbc6bdd6.sol
0xf45a3bbe486779250961c9f2da73651deb90406a,11,2,0,0,"tokensOwed, token",2025-10-10T13:04:59.017750,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf45a3bbe486779250961c9f2da73651deb90406a.sol
0x46d1ebf7bb93044e078e0496e4661ec772607d9d,53,2,0,3,"totalSupply, amountRaised",2025-10-10T13:05:21.900925,/Users/almightyfish/Desktop/AChecker/AC/undependency/0x46d1ebf7bb93044e078e0496e4661ec772607d9d.sol
0xf3a88200de35c6f935562e66844707999b77dd38,16,5,0,1,"totalSupply, balances, distributionFinished, _value, who",2025-10-10T13:05:14.659691,/Users/almightyfish/Desktop/AChecker/AC/undependency/0xf3a88200de35c6f935562e66844707999b77dd38.sol
